Age,Age_Bin,Gender,Education,Race,City.US.Raised,Raised.State,Latitude,Longitude,City.US.Fa,Father.State,City.US.Mo,Mother.State,City.US.Curr,Current.State,SurveyType,PI_1181,PI_1182,PI_1042
28,18-30,Female,Associates,White,Canton,OH,40.81820679,-81.4917984,Canton,OH,Warren,OH,Massillon,OH,9,NA,NA,NA
29,18-30,Male,Bachelors,White,Fort Collins,CO,40.52400208,-105.1396027,Honolulu,HI,Boulder,CO,Fort Collins,CO,9,NA,NA,NA
30,18-30,Male,Bachelors,Hispanic,,,40.67599487,-73.96289825,,,Brooklyn,NY,Brooklyn,NY,9,NA,NA,NA
31,31-40,Male,No_degree,White,Pittsburgh,PA,47.20979309,-122.4091949,Pittsburgh,PA,Pittsburgh,PA,Seattle,WA,9,NA,NA,NA
32,31-40,Female,Bachelors,White,Chicago,IL,37.08659363,-80.54389954,New Hempstead,NY,Rochester - Monroe County,NY,Christiansburg,VA,9,NA,NA,NA
27,18-30,Female,Bachelors,White,Medford,MA,-1.050003052,-80.44999695,Medford,MA,,,Medford,MA,9,NA,NA,NA
31,31-40,Female,Bachelors,White,Shellsburg,IA,41.97880554,-91.66470337,Walker,IA,Grandview,IA,Cedar Rapids,IA,9,NA,NA,NA
33,31-40,Male,No_degree,White,Wilkes-Barre,PA,40.9394989,-75.96949768,Wilkes-Barre,PA,Wilkes-Barre,PA,Wilkes-Barre,PA,9,NA,NA,NA
22,18-30,Female,Bachelors,White,Calhoun,GA,34.49429321,-84.91120148,Calhoun,GA,Calhoun,GA,Calhoun,GA,9,NA,NA,NA
36,31-40,Female,Bachelors,Black,Pottstown,PA,34.14779663,-118.1445007,Elk Township - Chester County,PA,Montgomery,AL,Pasadena,CA,9,NA,NA,NA
59,51-60,Female,HS_diploma,White,Fernandina Beach,FL,30.64579773,-81.62989807,Hazlehurst,GA,Alma,GA,Yulee,FL,9,NA,NA,NA
58,51-60,Male,Bachelors,White,Bergenfield,NJ,28.61849976,-81.43360138,Bergenfield,NJ,Bergenfield,NJ,Orlando,FL,9,NA,NA,NA
56,51-60,Female,Graduate,White,Beverly,MA,42.50019836,-70.86519623,,,,,Salem,MA,9,NA,NA,NA
31,31-40,Female,Associates,White,Avalon,CA,38.79319763,-77.53659821,Avalon,CA,Avalon,CA,Tampa,FL,9,NA,NA,NA
32,31-40,Male,Associates,White,Pennington Gap,VA,36.53649902,-82.46980286,Pennington Gap,VA,Brandon,VT,Blountville,TN,9,NA,NA,NA
57,51-60,Male,Bachelors,Asian,Irvine,CA,34.07099915,-117.701004,,,,,Irvine,CA,9,NA,NA,NA
26,18-30,Male,Graduate,White,Prospect,CT,41.272995,-72.95739746,Prospect,CT,Prospect,CT,Oxford,CT,9,NA,NA,NA
48,41-50,Male,No_degree,White,Seattle,WA,45.54420471,-122.6430969,,,,,Rainier,OR,9,NA,NA,NA
53,51-60,Male,No_degree,White,Jessup,MD,32.45249939,-93.6364975,Grayson,KY,Carmi,IL,Bossier City,LA,9,NA,NA,NA
29,18-30,Male,Bachelors,White,Johnson Township - Plymouth County,IA,33.8710022,-84.46350098,,,Johnson Township - Plymouth County,IA,Johnson Township - Plymouth County,IA,9,NA,NA,NA
26,18-30,Male,No_degree,White,Hudsonville,MI,42.33180237,-83.3710022,Jenison,MI,Jenison,MI,Hudsonville,MI,9,NA,NA,NA
58,51-60,Female,Associates,White,Philadelphia,PA,36.11470032,-79.74220276,,,Anchorage,AK,Greensboro,NC,9,NA,NA,NA
33,31-40,Female,No_degree,White,Portland East,OR,45.5144043,-122.6432953,Portland East,OR,Portland East,OR,Portland East,OR,9,NA,NA,NA
33,31-40,Male,HS_diploma,White,Itasca,IL,38.08639526,-88.11730194,Melrose Park,IL,Marion,IL,Albion,IL,9,NA,NA,NA
32,31-40,Male,No_degree,White,Lockport,NY,39.00230408,-84.6568985,Hinsdale,NY,Buffalo,NY,Florence,KY,9,NA,NA,NA
26,18-30,Male,No_degree,Amerindian,Greensboro,NC,35.98989868,-79.6984024,,,Branford,CT,Greensboro,NC,9,NA,NA,NA
53,51-60,Male,HS_diploma,White,Irvine,CA,33.09579468,-117.2720947,,,St. Paul,MN,Mission Viejo,CA,9,NA,NA,NA
33,31-40,Male,HS_diploma,White,Jacksonville,FL,29.92149353,-81.37850189,Jacksonville,FL,Jacksonville,FL,St. Augustine,FL,9,NA,NA,NA
37,31-40,Male,Graduate,White,Garden Grove,CA,38.92660522,-77.39360046,Watervliet,MI,Benton Harbor,MI,Los Angeles,CA,9,NA,NA,NA
57,51-60,Female,Associates,White,Ely Township,MI,46.62879944,-87.479599,Ely Township,MI,Ely Township,MI,Ely Township,MI,9,NA,NA,NA
39,31-40,Male,HS_diploma,White,Milwaukee,WI,41.91529846,-88.12870026,Greenfield - Milwaukee County,WI,Milwaukee,WI,West Chicago,IL,9,NA,NA,NA
25,18-30,Male,HS_diploma,White,Ocean Township - Ocean County,NJ,37.44490051,-77.2983017,Jersey City,NJ,Jersey City,NJ,Highland Springs,VA,9,NA,NA,NA
38,31-40,Male,HS_diploma,White,Provo-Orem,UT,43.54690552,-116.2913055,Fresno,CA,Arco,ID,Idaho Falls,ID,9,NA,NA,NA
37,31-40,Male,Bachelors,White,Huntsville,TX,30.65179443,-95.5542984,Trinity,TX,Trinity,TX,Huntsville,TX,9,NA,NA,NA
